Dictionary entry title,Entry ID number,Link,tag1,tag2,tag3,tag4,tag5
CRISPR,4,https://en.wikipedia.org/wiki/CRISPR,genetics,futures,genetically modified cows,,
jiankui,4,https://en.wikipedia.org/wiki/He_Jiankui_affair,genetics,ethics,science ,,
geneedit,4,https://www.foreignaffairs.com/articles/2018-04-10/gene-editing-good,development,philanthropy,futures,ethics,
Long About Text,6,https://www.youtube.com/watch?v=oOznwUEE9T8,Human,Intelligence,nonhuman,enlightenment,transformation
generous,6,https://medium.com/schemadesignstudio/gist-visualizing-collections-using-generous-interfaces-b9da44341c66,interface,design,website,knowledge,generous
jstor,6,https://www.jstor.org/stable/3178066?seq=1,situated,knowledge,haraway,science,feminism
monoskop,6,https://monoskop.org/log/?p=19995,situated,knowledge,mushrooms,relations,infrastructure
sagepub,6,https://journals.sagepub.com/doi/abs/10.1177/0306312713509704,japan,robotics, infrastructure,kansei,culture
wbject,6,https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118766804.wbiect220,posthumanism,human,knowledge,non-human,transformation
alexw,6,https://sites.google.com/site/alexweheliye/,posthumanism,black studies,racializing,assemblages,situated
realhuman,6,https://thenewinquiry.com/real-human-being/,posthumanism,human,black studies,feminism,racializing
Rules VS Reason,10,https://en.wikipedia.org/wiki/Frankenstein,literature,ethics,,,
sagepub2,10,https://journals.sagepub.com/doi/10.1177/026327602761899246,philosophy,morality,,,
yt1,10,https://www.youtube.com/watch?v=6xErFnyjMAA,history,science,rules,,
episteme,10,https://en.wikipedia.org/wiki/Episteme,philosophy,sociology,history,,
space,10,https://www.e-flux.com/journal/101/273221/three-thousand-years-of-algorithmic-rituals-the-emergence-of-ai-from-the-computation-of-space/,algorithms,AI,philosophy,,
demon,10,https://en.wikipedia.org/wiki/Laplace%27s_demon,determinism,cartesianism,statistics,,
transhuman,10,https://www.e-flux.com/journal/98/257322/sensitive-consciousness-and-time-against-the-transhumanist-utopia/,futures,posthumanism,time,,
macmillan,10,https://us.macmillan.com/books/9780374715236,AI,machine learning,neural networks,,
induction,10,https://en.wikipedia.org/wiki/Problem_of_induction,philosophy,mathematics,statistics,,
understanding,10,https://en.wikipedia.org/wiki/An_Enquiry_Concerning_Human_Understanding,enlightenment,empiricism,,,
yt2,10,https://www.youtube.com/watch?v=ys9gCR3PFF4,AI,ethics,philosophy,,
predictive,10,https://en.wikipedia.org/wiki/Predictive_policing,ethics,AI,,,
federak,10,https://cyber.harvard.edu/story/2020-02/why-we-need-federal-privacy-law,privacy,ethics,,,
Perfection,11,https://www.google.com/search?q=artificial+intelligence,AI,image of technology,,,
